Target Distance: 20, Step Size: 2
1: (x, y) = (1.97741, 0.299754)
2: (x, y) = (0.16249, 1.14003)
3: (x, y) = (-1.55312, 2.16799)
4: (x, y) = (0.357031, 2.76073)
5: (x, y) = (-0.0904505, 0.811431)
6: (x, y) = (-1.09554, -0.917672)
7: (x, y) = (0.60157, 0.140544)
8: (x, y) = (-1.18247, 1.04454)
9: (x, y) = (-2.93339, 2.01113)
10: (x, y) = (-2.45141, 0.0700691)
11: (x, y) = (-1.78308, -1.81496)
12: (x, y) = (-0.196843, -0.596824)
13: (x, y) = (-1.92145, -1.60961)
14: (x, y) = (-3.45224, -2.89673)
15: (x, y) = (-5.38674, -2.38908)
16: (x, y) = (-4.0929, -0.863966)
17: (x, y) = (-2.75907, 0.626301)
18: (x, y) = (-0.871102, 1.28628)
19: (x, y) = (-1.82998, 3.04143)
20: (x, y) = (-1.31372, 1.10921)
21: (x, y) = (0.508517, 1.9335)
22: (x, y) = (1.12651, 3.83563)
23: (x, y) = (1.64277, 1.90341)
24: (x, y) = (2.8957, 0.344518)
25: (x, y) = (2.41378, -1.59655)
26: (x, y) = (3.95591, -0.32303)
27: (x, y) = (5.54214, 0.895106)
28: (x, y) = (3.55975, 0.630343)
29: (x, y) = (5.38923, -0.177732)
30: (x, y) = (4.00344, 1.26434)
31: (x, y) = (5.42703, -0.14043)
32: (x, y) = (7.36152, 0.367275)
33: (x, y) = (6.35643, -1.36183)
34: (x, y) = (5.85729, 0.574886)
35: (x, y) = (5.44438, -1.38203)
36: (x, y) = (7.44156, -1.27586)
37: (x, y) = (5.71696, -2.28864)
38: (x, y) = (7.01079, -0.763526)
39: (x, y) = (8.86107, -0.00425473)
40: (x, y) = (9.37733, -1.93647)
41: (x, y) = (11.1693, -2.82465)
42: (x, y) = (9.36191, -3.68101)
43: (x, y) = (9.63539, -1.6998)
44: (x, y) = (8.22429, -0.282478)
45: (x, y) = (10.1865, -0.669366)
46: (x, y) = (11.326, -2.313)
47: (x, y) = (9.33235, -2.47216)
48: (x, y) = (7.49579, -1.68031)
49: (x, y) = (5.52703, -2.03246)
50: (x, y) = (4.1541, -3.48679)
51: (x, y) = (6.14627, -3.30999)
52: (x, y) = (6.4722, -1.33672)
53: (x, y) = (7.52284, 0.365083)
54: (x, y) = (8.81668, 1.8902)
55: (x, y) = (7.10107, 2.91816)
56: (x, y) = (8.49957, 1.4884)
57: (x, y) = (9.92317, 0.0836316)
58: (x, y) = (9.04293, -1.71225)
59: (x, y) = (9.87517, 0.10637)
60: (x, y) = (11.8374, -0.280518)
61: (x, y) = (10.9572, -2.0764)
62: (x, y) = (9.415, -0.802924)
63: (x, y) = (8.96752, -2.75222)
64: (x, y) = (10.9363, -3.10431)
65: (x, y) = (12.002, -4.79672)
66: (x, y) = (13.8654, -4.07032)
67: (x, y) = (14.9757, -5.73387)
68: (x, y) = (15.0553, -7.73229)
69: (x, y) = (13.8162, -6.16236)
70: (x, y) = (11.8612, -6.58398)
71: (x, y) = (12.7572, -4.79596)
72: (x, y) = (14.7509, -4.95506)
73: (x, y) = (14.5829, -2.96213)
74: (x, y) = (15.301, -1.09549)
75: (x, y) = (14.0071, 0.429592)
76: (x, y) = (15.2875, -1.10688)
77: (x, y) = (14.2824, -2.83598)
78: (x, y) = (12.9485, -1.34576)
79: (x, y) = (14.9485, -1.34576)
80: (x, y) = (15.6334, 0.533305)
81: (x, y) = (17.6327, 0.480263)
82: (x, y) = (19.6249, 0.65706)
83: (x, y) = (21.3126, -0.416086)
After 83 steps, the subject has the following location:
(x, y) = (21.3126, -0.416086)
or
(m, a) = (21.3167, -1.11844)
Average outward distance per step = 0.256827


Bye.
